branch,bu_num,lat,lon
Fulham Palace Road,530,51.484234,-0.219555
Peterborough,531,52.585006,-0.232159
Canterbury,533,51.276222,1.086052
Kensington Gardens,535,51.510789,-0.183227
Addlestone,542,51.356421,-0.504175
Fitzroy Street,552,52.206601,0.130462
Edenbridge,556,51.195339,0.064284
Keynsham,557,51.420449,-2.482511
Cheam,559,51.359137,-0.216524
Alderley Edge,560,53.302628,-2.236973
Locks Heath,563,50.863777,-1.27546
Burgh Heath,567,51.306115,-0.219011
Petts Wood,568,51.386741,0.075316
Burnt Common,571,51.281842,-0.511722
Walbrook,573,51.51199,-0.090152
Broxbourne,575,51.737959,-0.022111
Amersham,578,51.677256,-0.606226
Horsham New,580,51.064463,-0.330694
Oxford Botley Road,581,51.75268,-1.279496
BASINGSTOKE,582,51.26338,-1.087508
Old Brompton Road,583,51.49502,-0.13013
Hazlemere,584,51.651769,-0.713141
Ealing,586,51.515723,-0.291356
West Kensington,587,51.488602,-0.20524
Guildford,589,51.239841,-0.570311
Kings Cross,590,51.53575,-0.122991
Heathfield,595,50.967849,0.253683
Rustington,596,50.810136,-0.504888
BATTERSEA NINE ELMS,598,51.496805,-0.006702
UTTOXETER,599,52.896392,-1.863083
High Holborn,601,51.517425,-0.11878
Sherborne,604,50.949284,-2.516391
Hove,605,50.843695,-0.176393
High Wycombe,607,51.615033,-0.760428
Hampton,612,51.415612,-0.37364
Pimlico,614,51.49257,-0.139626
Clapham Common,616,51.461935,-0.139245
Kings Cross Station,619,51.53239,-0.123309
Stirling,620,56.084788,-3.945361
North Walsham,622,52.827048,1.368318
Aylesbury,625,51.821225,-0.799137
Milngavie,630,55.931895,-4.316404
Ipswich,632,52.042017,1.191726
Highbury Corner,637,51.546698,-0.103843
Muswell Hill,639,51.591594,-0.142426
Knightsbridge,641,51.499309,-0.164954
Solihull,642,52.413274,-1.782465
Sidcup,643,51.425519,0.105037
Notting Hill Gate,644,51.508861,-0.19983
Truro,648,50.273322,-5.037728
Cambridge,651,52.175237,0.126284
Frimley,652,51.314411,-0.744138
Hailsham,653,50.863877,0.259677
Hythe,654,51.071926,1.088996
Paddock Wood,655,51.179818,0.393689
Saltash,656,50.421411,-4.233543
Sidmouth,657,50.700014,-3.244308
Sudbury,658,52.037009,0.731813
Thatcham,659,51.402602,-1.255986
Twickenham,660,51.448244,-0.328801
Worcester Park,661,51.37814,-0.243543
Wymondham,662,52.575172,1.123762
Cheltenham,663,51.901754,-2.083847
Cheltenham,663,51.901754,-2.083847
Canary Wharf,664,51.504656,-0.017264
Canary Wharf,664,51.504656,-0.017264
Belgravia,665,51.498842,-0.15697
Tonbridge,667,51.19417,0.276218
Chandlers Ford,668,50.986875,-1.373225
Portishead,669,51.485861,-2.765944
Mill Hill,670,51.607253,-0.208978
Romsey,671,50.990071,-1.496685
Droitwich,672,52.26885,-2.145339
Wandsworth,673,51.45554,-0.194369
Newmarket,674,52.246943,0.408014
Wallingford,675,51.600672,-1.125246
Newbury,676,51.407028,-1.329297
Sanderstead,677,51.332297,-0.075485
Kensington,678,51.499069,-0.197591
Sandbach,680,53.142679,-2.363508
Fulham,681,51.480258,-0.199485
Towcester,682,52.130084,-0.989407
Abergavenny,683,51.81823,-3.028302
Harrogate,684,53.990062,-1.536415
Hitchin,685,51.950466,-0.28303
Swaffham,686,52.655681,0.684091
Newport,687,52.765405,-2.367472
Worthing,689,50.813716,-0.367665
Rushden,690,52.299343,-0.619573
Rushden,690,52.299343,-0.619573
Otley,691,53.904952,-1.696097
Farnham,692,51.215451,-0.802093
Lincoln,694,53.251365,-0.520901
Sheffield,695,53.372841,-1.480496
Willerby,697,53.764086,-0.455194
Rickmansworth,698,51.64056,-0.472317
Lichfield,699,52.674858,-1.843358
Worcester,700,52.182307,-2.194431
Warminster,701,51.20564,-2.177903
Exeter,702,50.724396,-3.514011
South Bank Tower,703,51.507622,-0.107191
Ashford,705,51.155566,0.857555
Bracknell,706,51.402336,-0.74763
Stratford Upon Avon,708,52.178349,-1.700581
Cheadle Hulme,710,53.377163,-2.190077
Wilmslow,711,53.328897,-2.229202
Balham,719,51.444939,-0.151759
Southampton New,720,50.921479,-1.39331
Walton-le-Dale,721,53.748819,-2.677694
Ampthill,722,52.032308,-0.493112
Bedford,725,52.158446,-0.470404
Wootton,726,52.21001,-0.892678
Lewes,727,50.874247,0.01418
Market Harborough,728,52.475475,-0.915959
Wells,729,51.20975,-2.650159
Barbican,732,51.521792,-0.092343
Poundbury,733,50.710806,-2.449673
Cowbridge,735,51.461711,-3.447873
ROEHAMPTON,736,51.449547,-0.238995
Battersea,737,51.477121,-0.148161
Bagshot Road,738,51.398416,-0.744197
Tubs Hill,739,51.278575,0.178086
Greenwich,740,51.48085,-0.002929
East Grinstead,741,51.123439,-0.010911
Kings Hill,744,51.293894,0.409059
Buxton,748,53.259622,-1.911801
Formby,749,53.555461,-3.05841
Comely Bank,750,55.959365,-3.219419
Chipping Sodbury,751,51.262104,-2.762011
Oakgrove,752,52.043333,-0.695268
St Katharine Docks,753,51.507157,-0.067938
Christchurch,754,50.736455,-1.779356
Bayswater,756,51.516798,-0.187421
Eastbourne,757,50.772709,0.267734
Oundle,758,52.488378,-0.439258
Northwich,759,53.258994,-2.514202
Chiswick,760,51.492675,-0.263115
Morningside,761,55.929489,-3.209309
West Ealing,764,51.512992,-0.321388
Hersham,765,51.36521,-0.398596
Parkstone,766,50.728681,-1.939951
Clapham Junction,767,51.462541,-0.168035
Edgware Road,768,51.517672,-0.166147
Buckingham,769,52.000631,-0.985377
Windsor New,772,51.481963,-0.610322
Monument,773,51.510027,-0.086689
Islington,780,51.533656,-0.108068
Hexham,782,54.964381,-2.142521
Victoria Street,783,51.497662,-0.137502
Vauxhall,789,51.484859,-0.124111
Harborne,796,52.458561,-1.94909
Brackley,797,52.026856,-1.151135
Lymington New,798,50.75708,-1.54963
Horley - Brighton Road,802,51.180634,-0.163601
Wimborne,805,50.800324,-1.982211
Headington - London Road,806,51.759559,-1.213952
Guildford Worplesdon Road,808,51.256983,-0.594254
Little Waitrose John Lewis Southampton,815,50.903584,-1.407188
East Putney,820,51.459392,-0.211554
Meanwood,828,53.828522,-1.567696
Trinity Square,833,52.956215,-1.148837
Clifton,834,51.4569,-2.60843
Crouch End,835,51.578992,-0.124119
Oxted,838,51.258472,-0.004766
Chester,842,53.192474,-2.878849
Raynes Park,846,51.408995,-0.233896
Leatherhead,859,51.294524,-0.329242
Victoria Bressenden Place,860,51.4985,-0.140149
SKY (OSTERLEY),865,51.487252,-0.327436
Faringdon,871,51.651233,-1.581408
Haywards Heath,873,51.005655,-0.104651
Banbury,874,52.068276,-1.341522
Finchley Central,876,51.600163,-0.194809
Bromsgrove,877,52.319233,-2.056716
Winchmore Hill,878,51.635349,-0.092937
